time,BTC Open,BTC High,BTC Low,BTC Close,BTC Volume,BTC RSI,BTC MACD,BTC Signal,ETH Open,ETH High,ETH Low,ETH Close,ETH Volume,ETH RSI,ETH MACD,ETH Signal,USDT Open,USDT High,USDT Low,USDT Close,USDT Volume,USDT RSI,USDT MACD,USDT Signal
2021-09-30 00:00:00,41537.56,43168.35,41427.87,42987.19,205.87743793,59.48063954029513,-171.6915853088576,-249.48218473472895,2849.71,2989.0,2836.21,2960.54,32114.11618,56.75938618175509,-20.898877368453668,-27.150119523208357,0.9999,0.9999,0.9998,0.9999,2040769.38119,39.65047611929391,-0.0001103802046131,-0.0001087369747194
2021-09-30 02:00:00,43000.0,43731.58,42922.28,43580.52,169.02931139,63.9636232528246,-24.66371619594429,-204.51849102697204,2960.53,3035.15,2956.88,3027.54,20074.07612,62.447334482478965,-7.447142157312101,-23.209524050029103,0.9999,0.9999,0.9998,0.9999,1852227.9612,39.65047611929391,-0.0001073791591157,-0.0001084654115986
2021-09-30 04:00:00,43621.31,43835.09,43450.0,43505.54,268.82104918,63.01480939813166,84.82881619960244,-146.64902958165715,3027.28,3048.58,3015.63,3028.49,13372.22347,62.52261222527989,3.2526178190214523,-17.91709567621899,0.9999,1.0,0.9998,1.0,1162432.71119,46.23071523886384,-9.58270105451e-05,-0.0001059377313879
2021-09-30 06:00:00,43530.73,43676.75,43225.0,43290.72,171.26927295,60.25696855130724,152.510215470189,-86.8171805712879,3028.58,3044.64,2995.6,3001.78,9146.56523,58.944887451535024,9.467841529037289,-12.440108235167736,0.9999,1.0,0.9999,1.0,738061.99115,46.23071523886384,-8.56841361887e-05,-0.0001018870123481
2021-09-30 08:00:00,43294.61,43460.0,42801.0,43152.28,325.073121,58.480691782663214,192.7552979132961,-30.902684874371104,3001.53,3012.23,2959.48,2980.44,8212.28159,56.17891183828584,12.527086982422588,-7.446669191649669,1.0,1.0,0.9999,0.9999,1179288.65114,41.040876943240896,-8.47381903403e-05,-9.84572479465e-05
2021-09-30 10:00:00,43153.68,43315.94,42725.0,43086.49,114.19916336,57.61153961549929,216.84149871159025,18.64615184282117,2980.94,3006.41,2941.63,2962.63,6632.29348,53.90544297330904,13.360432144107108,-3.2852489244983136,0.9999,1.0,0.9999,1.0,537266.16113,47.39995313226365,-7.50541793156e-05,-9.37766342203e-05
2021-09-30 12:00:00,43067.4,43766.11,43011.03,43089.01,422.25409619,57.63751070242972,233.4423512035719,61.60539171497132,2962.63,3030.98,2960.02,2973.21,15361.41634,55.06868804046687,14.705070864582922,0.3128150333179333,1.0,1.0001,0.9999,1.0001,1321588.2212,52.87377148354268,-5.86344649308e-05,-8.67482003624e-05
2021-09-30 14:00:00,43075.0,43516.97,42847.85,43152.31,250.54329852,58.32818415153486,248.8379780710311,99.05190898618328,2974.23,3014.59,2954.49,2985.33,14522.63572,56.42530597929268,16.557821191284802,3.5618162649113074,1.0001,1.0001,1.0,1.0,1798063.3712,47.54536752430485,-5.30790252853e-05,-8.0014365347e-05
2021-09-30 16:00:00,43152.2,43417.19,42837.27,43339.55,165.35882036,60.385608540459664,273.0008426757849,133.8416957241036,2985.33,3005.46,2963.52,2994.82,13147.14093,57.507169294757375,18.5777501231305,6.5650030365551455,1.0001,1.0001,1.0,1.0001,1780645.7911900005,52.68082033623951,-4.01443757025e-05,-7.20403674181e-05
2021-09-30 18:00:00,43302.65,44117.74,43268.91,43540.0,278.46658133,62.519065939829,304.81105462907726,168.03556750509833,2995.01,3048.48,2990.91,2992.38,16874.23,57.11453072542378,19.75395939881446,9.202794309007007,1.0,1.0002,1.0,1.0001,3037086.1611999995,52.68082033623951,-2.95529052234e-05,-6.35428749792e-05
